N° Inventario;N° Posizione;NumeroScaffale;Dati proprietario;Argomento;Autore;Titolo;Sottotitolo;Parte di;Editore;LuogoDiPubblicazione;AnnoDiPubblicazione;Pagine;NumeroEdizione;Donazione di;Note;Ricerche;Tipologia;Prestito
223;02\05\002;;;Storia classica;;;;;;;;;;;;;;
224;02\05\003;;;Storia classica;;;;;;;;;;;;;;
225;02\05\004\001;;;Storia classica;Marini G.;Sacerdozio e potere politico nella Roma repubblicana;;;GAR;Roma;1.982;72;;;;Il potere politico. Il consenso con fondamento del potere politico. La credenza come fondamento del consenso. I sacerdozi romani. Potestas auctoritas imperium. La strumentalizzazione del pontificato e dell’augurato nella lotta politica epoca arcaica. Lo stato patrizio-plebeo. Il problema dei quindecemviri sacris faciundis.;Pubblicazione G.A.I.;
309;02\05\004\002;;;Storia classica;Marini g.;Sacerdozio e potere politico nella Roma repubblicana;;;Gruppo Archeologico Romano;Roma;1.982;;;;;;;
226;02\05\005;;;Storia classica;Walser Gerold;L'impegnodell’imperatore Claudio nella costruzione di strade;;;Università di Bologna;Bologna;1.982;58;1;;materiale epigrafico;L'impegno dell’imperatore Claudio nella costruzione di strade;estratto di tesi;
424;02\05\005\002;;;Storia classica;Walser Gerold;L'impegno dell’imperatore Claudio nella costruzione di strade;;;;Bologna;1.982;58;;;materiale epigrafico;L'impegno dell’imperatore Claudio nella costruzione di strade;;
227;02\05\006;;;Storia classica;AA.VV.;Optima hereditas;Sapienza giuridica romana e conoscenza dell’ecumene;;Scheiwiller per Credito Italiano;Milano;1.992;656;;;materiale fotografico a colori;"Il diritto dalle genti al principato. Formazione e declino del diritto classico. Le scienze. Immagine della terra nella Scienza greca. Il commercio romano tra utopia e realtà. Viaggi ed esplorazione oltre i confini dell’Impero fra l’età di Plinio e quella di Tolemeo. La cultura geografica in età imperiale. L’Italia e la navigazione mediterranea dopo la fine dell’Impero d’Occidente. Esploratori mercanti e religiosi in Oriente nel medioevo. Il commercio italiano con paesi mediterranei e con l’Asia nel medioevo. La cultura geografica nel medioevo. Navigatori italiani nell’oceano fra XIII E XV secolo. La cultura geografica dell’umanesimo. Gli Italiani in Oriente dal declino di Bisanzio alla dominazione ottomana. ""Mondus Novus"" Cristoforo Colombo al di là dell’ecumene antica";saggio;
701;02\05\007;;;Storia classica;Graves R.;I miti greci;Dei ed eroi in Omero vol.1;;Mondadori;Milano;1.963;330;;;;;saggio;
764;02\05\008;;;Storia classica;Marcone Arnaldo;Storia dell'agricoltura romana;;;Carocci;Roma;1.997;237;;;;;;
771;02\05\009;;;Storia classica;Guerdan René;Pompei;la vita di una città prima della morte;;Mondadori;Milano;1.975;195;;Bonello Valter;;;;
228;02\06\001;;;Storia medioevale;Gandino G., Cancian P., Casiraghi G., Montanari M., Bordone R., Segre Montel C., Tosco C., Volinia M., Brusa Trompetto S., De Marchi C., Patria P.;Il rifugio del vescovo;Testona e Moncalieri nella diocesi medievale di Torino;;Scriptorium;Torino;1.997;269;1;Belardini Maurizio;Materiale fotografico, appendice documentaria;Il testamento di Landolfo come affermazione di autocoscienza vescovile, il testamento di Landolfo: edizione critica, la collegiata di S. Maria: un tentativo di riforma vescovile, castelli e politica territoriale sulla collina torinese nell'età del vescovo Landolfo (Secc. X-XI), origine e sviluppi del comune di Testona (1170-1230), codici dispersi e frammenti ritrovati: sulle tracce dei libri di S. Maria di Testona e S. Maria di Moncalieri, architettura landolfiana, indagini termografiche, il rilievo architettonico di S. Maria di Testona, note sul rimpiego di laterizi romani nella fabbrica del campanile;Raccolta di saggi;
229;02\06\002;;;Storia medioevale;Debord Andrè;Aristocratie et pouvoir;Le role du chateau dans la France médievale;;Picard;Paris;2.000;238;;;;;;
230;02\06\003;;;Storia medioevale;Gazzola Franco;Introduzione all'Alto Medioevo (Secc. V-X);;Corso d'introduzione alle tematiche archeologiche;G.A.T.;Torino;1.997;10;;;6°;L'Alto Medioevo in Europa, genesi del Medioevo, il ruolo del Cristianesimo, formazione dei Regni Barbarici, costruzione dell'Europa dei Franchi e del papato, evoluzione e declno dell'Impero franco, l'Alto Medioevo in Italia,;Dispensa;
420;02\06\003\002;;;Storia medioevale;Gazzola Franco;Introduzione all'Alto Medioevo (Secc. V-X);;;G.A.T.;Torino;;;;;;;;
421;02\06\003\003;;;Storia medioevale;Gazzola Franco;Introduzione all'Alto Medioevo (Secc. V-X);;;G.A.T.;Torino;;;;;;;;
422;02\06\003\004;;;Storia medioevale;Gazzola Franco;Introduzione all'Alto Medioevo (Secc. V-X);;;G.A.T.;Torino;;;;;;;;
423;02\06\003\005;;;Storia medioevale;Gazzola Franco;Introduzione all'Alto Medioevo (Secc. V-X);;;G.A.T.;Torino;;;;;;;;
231;02\06\004;;;Storia medioevale;Mauro Marnetto;La collina Torinese;;Corso d'introduzione alle tematiche archeologiche;G.A.T.;Torino;1.997;9;;;7°;;Dispensa;
232;02\06\005;;;Storia medioevale;Demuger Alain;Vita e morte dell’Ordine dei Templari;;;Collezione storica Garzanti;Milano;1.988;336;2;;Cronologia, genealogie, cartine.;Le origini. Ugo de Payns. Il Tempio di Salomone. Organizzazione gerarchica. LA seconda crociata. Missioni in Terrasanta. Gerardo di Ridefort. Patrimoni. Vita quotidiana in Occidente e Terrasanta. Cambiamenti del XIII sec. La caduta e l’eredità.;saggio;
233;02\06\006;;;Storia medioevale;AA.VV.;La via Francigena;Dal Moncenisio a Sant'Antonio di Ranverso sulle orme degli antichi viandanti;;Comune di Sant'Ambrogio;;1.997;48;;;Catalogo della mostra itinerante;;;
234;02\06\007;;;Storia medioevale;Luppi Bruno;I saraceni in Provenza e Liguria e nelle Alpi Occidentali;;Collana storico-archeologiche della Liguria occidentale;Istituto internazionale di Studi Liguri;Cuneo;1.973;173;2;;;Le fonti divise per documenti, cronache agiografie ed avanzi archeologici e linguistici, tradizioni e leggende, ricostruzione storica dlllo sbarco nel Frassineto e delle incursioni, le conseguenze delle incursioni ed il ritorno alla normalità;saggio;
235;02\06\008;;;Storia medioevale;Pistarino Geo;Gli Statuti  di Ricaldone;;Collana storica dell'oltregiogo ligure I;Istituto internazionale di Studi Liguri;Cuneo;1.968;112;;;;statuti in latino;saggio;
236;02\06\009;;;Storia medioevale;Zaccaro Adele;Il Cartulario  di Benedetto da Fosdinovo 1340-41;;Collana storica della liguria orientale IV;Istituto internazionale di Studi Liguri;Cuneo;1.970;132;1;;;Il cartulario;;
237;02\06\010;;;Storia medioevale;Balletto Maria Luisa;Navi e navigazione a Genova nel ‘400.;"La ""Cabella marinariorum"" 1482-1491";Collana storica dell'oltremare ligure III;Istituto internazionale di Studi Liguri;Cuneo;1.973;;;;versione latina sia del manuale sia del cartolare;manuale e cartolare del 1482. Patroni, viaggi e rotte tipi d’imbarcazione equipaggi. Viaggi dei patroni genovesi nel 1482.;;
238;02\06\011;;;Storia medioevale;Forcheri  Giovanni;Navi e navigazione a Genova nel ‘300.;Il liber gazarie;Collana storica dell'oltremare ligure IV;Istituto internazionale di Studi Liguri;Cuneo;1.974;173;1;;;il liber gazarie dell’archivio di stato di genova. LE edizioni i provvedimenti per la libertà dei mari. Limitazioni del traffico con gli infedeli. Regole per il bordo libero. Le galere di Romania e Siria e merci pregiate sulle rotte di Levante. La navigazione a remi sulla rotta di Aigues Mortes e su altre rotte. Lo scrivano ed i libri di bordo. Arruolamento e disciplina di bordo. Costruzione delle galere. Index rubricarum del Liber gazarie .;saggio;
239;02\06\012;;;Storia medioevale;Mancini T.;Santa Maria delle Grazie in Farnese;Cronistoria di una tradizione;Quaderni della biblioteca comunale di Farnese I;Biblioteca Comunale di Farnese;Viterbo;1.986;74;;;Materilale fotografico;Fede e Folklore Storia e tradizione. La leggenda popolare inni e poesie. La festa oggi. Estratto della visita pastorale del vescovo A. Fedeli del 16\5\1693. Breve nota dell’archivio parrocchiale di Farnese. Tavole;saggio;
240;02\06\013;;;Storia medioevale;Pistarino Geo;Le pievi  della diocesi di Luni parte I;;Collana storica della Liguria orientale II;Istituto internazionale di Studi Liguri;Alessandria;1.961;227;1;;;Privilegi papali dal 1148 al 1203, le decime del 1276. Le decime del 1296-97,1298-99, 1303. Gli estimidel 1470-71. Confini della diocesi nel Basso medioevo;saggio;
1.084;02\06\014;;;Storia medioevale;Chiarle Giancarlo;i visconti di Baratonia e Villar Focchiardo , un villaggio medievaleVillar Focchiardo,  la Giaconera;estratti da Segusium;;Segusium;;;;;;estratti;;;
307;02\06\014\001;;;Storia medioevale;Bocca - Centini;Saraceni nelle Alpi;Storia,miti e tradizioni di una invasione medievale;;Priuli & Verlucca;Torino;;;;;;;;
308;02\06\014\002;;;Storia medioevale;Bocca - Centini;Saraceni nelle Alpi;Storia,miti e tradizioni di una invasione medievale;;Priuli & Verlucca;Torino;;;;;;;;
329;02\06\015;;;Storia medievale;Trabucco Carlo;Arturo Ceriana e la chiesa romanica di S.Genesio;Invito alla scoperta di un ridente paese collinare -Castagneto Po -;;Pievano di Castagneto Po;Cuneo;1.973;86;;;;;;
330;02\06\016;;;Storia medievale;Stendardi Eraclio;Memorie storiche della distrutta città di Castro;;;Ceccarelli;Viterbo;1.993;177;;;;;;
485;02\06\017;;;Storia medievale;AA.VV.;Istituzioni medievali;Anno accademico 1980-81;;Tirrenia Stampatori;Torino;1.980;84;;;;;;
551;02\06\018;;;Storia Medievale;AA.VV.;Medioevo reale Medioevo immaginario;Confronti e percorsi culturali tra regioni d'Europa;;Città di Torino;Torino;2.002;283;;;;"Indice

Introduzione al convegno                                    p.   3 
Ugo Perone, Assessore per la Cultura della Città di Torino 
nel maggio 2000

LA RIVISITAZIONE OTTOCENTESCA DEL MEDIOEVO

Le radici della rivisitazione ottocentesca del medioevo             11 
Renato Bordone

Néo-gothique et architecture en Europe au XD^™ siede:

sources, thèmes, réalisations                                      19 
Olivier Poisson

Modernismo e Medioevo: il significato dell'evasione              37 
José Enrique Ruiz Domènec

Invenzioni del medioevo in Germania tra Ottocento e 
Novecento                                                  49 
Ernst Voltmer

IL MEDIOEVO TRA RICERCA E DIVULGAZIONE

I ""rottami del diroccato castello"": tra evocazione romantica e 
credulità ""popolare""                                             67 
Aldo A. Settia

La rilettura odierna della società medievale: i miti sopravvissuti    89 
Giuseppe Sergi

I LUOGHI DEL MEDIOEVO. SIGNIFICATI E 
INTERPRETAZIONI

Le Moyen Àee au XIX6 siede                             101

Jean-Michel Leniaud

La Cité de Carcassonne ou le Moyen Age retrouvé               115 
]ean-Pierre Piniès

Le forteresse éternelle ou le point de vue des habitants de la Cité 
de Carcassonne                                               127 
Christiane Amiel
Barcelona neogòtica: la reinvención del barrio de la Catedral  p. 139

Daniel Venteo

Da Norimberga a Venezia, le città di un Medioevo idealizzato    161 
Guido Zucconi

II Borgo Medioevale e il ruolo della pittura dell'Ottocento 
nella fortuna del medioevo in Piemonte                        175

Rosanna Maggio Serra

II significato del Medioevo nell'immaginario contemporaneo     187 
Massimo Oidoni

MEDIOEVO, MUSEOGRAFIA, DIDATTICA E 
DIVULGAZIONE

L'insegnamento del medioevo nella scuola: problemi, 
esperienze, valutazioni                                        209 
Antonio Brusa

Patrimoine et tourisme culturel dans l'Aude                   217

Sylvie Caucanas

Un nouveau projet culturel d'accueil du public a la cité 
de Carcassonne                                              233 
Marie-Geneviève Colin

Un museo e gli spazi per la divulgazione                       243

Carla Bartolozzi

""Medioevo Reale Medioevo Immaginario"": il sito Web          257 
Francesco Coda

Moyen Age réel, Moyen Age imaginaire 
La construction d'un réseau de sites internet                    263

Martine Tayeb

II progetto Medioevo reale-medioevo immaginario              269 
Paolo Denicolai

La collaborazione internazionale nel campo della cultura:

prospettive di sviluppo                                        275 
Daniele Lupo Jallà";;
553;02\06\019;;;Storia Medievale;AA.VV.;387 DC. Ambrogio e Agostino le sorgenti dell'Europa;;;Olivares;Milano;2.004;533;;;;"Indice

Premessa

Le ragioni di una Mostra 
L'acqua, il sepolcro, la culla 
Marco Garzonio

capitolo 1

Dimensioni e conseguenze di un incontro

Luigi Crivelli

Sezione 1 
Africa e Germania

capitolo 2

L'africanità di Sant'Agostino

Melle Sabah Ferdi

capitolo 3

Commercio transmarino e benessere

economico nelle province romane d'Africa

dalla fondazione di Costantinopoli

alla morte di Agostino

Claudio Parisi Presicce

capitolo 4

Iconografia delle lucerne a olio dell'Africa 
cristiana (IV secolo - inizio V secolo) 
Fathi Bejaoui

capitolo 5

Cartagine ai tempi di Sant'Agostino

Liliane Ennabli

capitolo 6 
Palazzo imperiale e centro economico:

Treviri ai tempi di Ambrogio 
Hans-Peter Kuhnen

capitolo 7

Edifici di culto paleocristiani 
del IV secolo in Germania 
Winfrìed Weber

Sezione II 
Milano

capitolo 8

La necropoli individuata nei cortili 
dell'Università Cattolica 
Filippo Airoldi 

54    capitolo 9

La Milano romana di Ambrogio 
Cristina Cattaneo, Davide Porta, 
Davide Steffen/ni, Alessandra Mazzucchi, 
Alberto Brandone

56    capitolo 10

II culto delle reliquie e la politica 
urbanistico-architettonica di Milano 
ai tempi del vescovo Ambrogio 
Beai Brenk

61    capitolo 11

S. Lorenzo, cronologia e restauri 
Angelo Maria Ardovino

66    capitolo 12

L'affresco tra romanità e alto Medioevo 
a Milano, San Lorenzo 
Carlo Bertelli

Sezione III 
Società ed economia

70    capitolo 13

Gli interrogativi di una società 
Jean-Michel Carnè

74    capitolo 14

Ambrogio e Agostino, due personalità 
esemplari della militìa imperiale 
(fra IV e V secolo) 
Leilia Cracco Ruggini

79    capitolo 15

La dominazione vandalica 
Letizia Pani Ermini

83    capitolo 16

Economia e monetazione nella provincia 
d'Africa, dalla conquista vandala 
alla riconquista bizantina 
Cécile Morrisson

88   capitolo 17

Palazzi e dimore della tarda antichità 
Beai Brenk 

93    capitolo 18

II messaggio dei mulitipli tardoantichi 
Maria R.-Alfòldi

96   capitolo 19

Propaganda e immagine nella moneta 
di IV-V secolo 
Ermanno A. Arsian

100  capitolo 20

L'agricoltura Padano-Veneta 
ai tempi di Sant'Ambrogio 
Gaetano Forni

106   capitolo 21

Le condizioni di vita nel territorio 
italiano nel I-V secolo:

il contributo dei dati antropologici

Maria Giovanna Belcastro,

Valentina Mariotti, Benedetta Benfiglieli

108   capitolo 22 
Le terme 
Marine/fa Pasquinucci

112   capitolo 23

Gli Spectacula Theatrìca nel tardo. Impero 
Olimpio Musso

Sezione IV 
Filosofie e religioni

120   capitolo 24

La cultura figurativa alle soglie 
del V secolo. Larte cristiana al bivio 
Fabrìzio Bisconti

128  capitolo 25

I sarcofagi paleocristiani. 
Forme e contenuti 
Marina Sapelli

133   capitolo 26

Bibbia e Vangelo nei vetri 
Franca Maria Vanni

136  capitolo 27

Le immagini e il culto dei santi sui vetri 
dorati romani durante il pontificato 
di Damaso e Siricio (366-399) 
Umberto Litro
capitolo 28

Roma, la ""Babilonia d'Occidente""

di Agostino, e i culti isiaci

in età tardoantica

Serena Ensoli

capitolo 29 
Neoplatonismo tra metafisica e società:

dottrina filosofica e paideia 
Luisa Musso

capitolo 30

Che cosa era la magia

Attilio Mastrocinque

Sezione V 
Arte e cultura

capitolo 31

II vasellame prezioso all'epoca

di Sant'Agostino

Francois Baratte

capitolo 32

La Capsella di San Nazaro a Milano. 
Note sullo stile e sulla storia del reliquario 
Fabrìzio Slavazzi

capitolo 33

Gli avori tardoantichi

Carlo Bertelli

capitolo 34

Vetro

David Whitehouse

capitolo 35 
I vetri incisi 
Bruno Massabò, Fabrizio Paolucci

capitolo 36

La glittica e la produzione suntuaria 
nell'età di Ambrogio: arte e potere 
fra classicità e cristianesimo 
Gemma Sena Chiesa 

195  capitolo 37

Libri e comunicazione scritta 
nel";;
703;02\06\020;;;Storia Medievale;Pistan Fabio;Per singulas plebes;Le istituzioni pievane nella dinamica delle trasformazioni del territorio rurale nel medioevo.Aree dell'antica diocesi di Vercelli a confronto.;;Tridinium;Trino (VC);2.003;340;;Museo Trino;;;;
714;02\06\021;;;Storia Medievale;Bonardi;La costruzione di una villanova;Cherasco nei secoli XIII-XIV;;Cherasco;Cuneo;2.004;118;;;;;;
715;02\06\022;;;Storia Medievale;Comba-Panero-Pinto;Borghi nuovi e borghi franchi;nel processo di costruzione dei distretti comunali nell'italia centro settentrionale (secoli XII-XIV);;Cherasco;Cuneo;2.002;444;;;;"PROCESSI DI COSTRUZIONE DEL DISTRETTO
SANTE BORTOLAMI, I borghi franchi nella politica territoriale dei comuni
veneri .................................. » 19
PAOLO GRILLO, La politica territoriale delle città e l'istituzione
di borghi franchi: Lombardia occidentale e Lombardia orientale a confronto ............................... »   45
1. Il dibattito storiografico ...............'........  »    46
2. Gli esordi: prima di Roncaglia.................... »   49
3. fra la Lega e l'Impero ........................ »   56
4. I comuni lombardi e i loro territori all'epoca della pace
di Costanza .............................. »   62
5. La prima metà del secolo XIII: conflitti civili e borghi/ranchi . . »   74
6. I borghi franchi di Broscia e di Cremano: due modelli....... »   85
7. Il ruolo delle comunità rurali .................... »   92
RENATO BORDONE, «Loci novi» e «villenove»
nella politica territoriale del comune di Asti ............. »   99
1. Conurbazione di «ville veteres» e costituzione di «ville nove». . »  100
2. I «loci novi» ............................. » 104
3. Cittadinatici e nuovi insediamenti. ................. »  112
4. Osservazioni conclusive. ....................... »  117
PAOLO PIRILLO, Nuove fondazioni e politica territoriale delle città
toscane: modelli di intervento ..................... »  123
RINALDO COMBA, Borghi nuovi e borghi franchi dei Pietrasanta
nel processo di costruzione dei distretti comunali .......... »  139
1. La «toponomastica podestarile» come traccia per lo studio
del ruolo dei podestà nella fondazione di borghi nuovi ...... »  140
2. Nell'Ossola e in Versilia: i borghi nuovi di Guiscardo Pietrasanta   »  142
3. Prima e dopo Guiscardo: i Pietrasanta fra esercizio del
podestariato e vocazione alla fondazione di borghi nuovi ..... »  146
MODELLI DI FONDAZIONE
ANTONIO IVAN PINI, II «certificato di nascita» di un borgofranco
strategico bolognese. La lapide di fondazione di Castel San Pietro dell'anno 1200.............................. »  153
1. Borghi nuovi e borghi/ranchi .................... » 153
2. Borgo Nuovo (oggi La Magione). .................. » 158
3. L'espansionismo bolognese nel contado di Imola .......... » 163
4. La fondazione di Costei San Pietro .:............... » 172
'5. La lapide di fondazione ....................... » 179
SANDRO TIBERINI, I «borghi nuovi» di iniziativa comunale
nei territori di Perugia e di Gubbio (sec. XIII) ........... »  189
APPENDICE I: Lodo arbitrale tra l'eremo di S. Croce di Fonte
Avellana e il comune di Gubbio (1265, novembre 10). ...... » 234
APPENDICE II: Appellationes di Falacasa iudex, procuratore del comune di Gubbio, riguardo ai diritti del detto comune sul suo comitato (1280, settembre 5) ................ » 243
TERSILIO LEGGIO, Le fondazioni del comune di Rieri tra strategie
d'espansione e urgenze militari (secc. XIII-XIV) ........... » 247
1. Gli antefatti. ............................. »  248
2. I secoli XIII e XIV. ......................... » 250
3. Epilogo ................................ » 254
PAOLA GUGLIELMOTTI, Genova e i luoghi di nuova fondazione
nella Liguria di Levante del secolo XII ................ » 257
1. Le fondazioni............................. » 259
2. «Castrum» e «burgus» ....................... » 263
JOSEPHA COSTA RESTAGNO, Le villenove del territorio di Albenga tra modelli comunali e modelli signorili (secoli XIII-XIV) . . .
1. Le fondazioni signorili tra la fine del secolo XII
e il primo Duecento .......................
2. Le fondazioni del comune di Albenga. .............
3. Consolidamento dei poteri signorili e nuove fondazioni
fra Due e Trecento ........................
4. Uomini, tecniche, norme .....................
5. Conclusioni ............................
ANNA MARIA RAPETTI, I borghi franchi del Piemonte
centro-settentrionale: Novara, Vercelli, Ivrea ...........
1. Processi di creazione dei borghi franchi. ............
2. Come si comportò Vercelli.......";;
727;02\06\023;;;Storia Medievale;Chiarle Giancarlo;La Certosa e il villaggio:uomini,ambienti,luoghi nei primi anni di Monte Benedetto;;Certose di montagna-certose di pianura Convegno luglio 2000;;;200;10;;Chiarle;;;;
757;02\06\024;;;Storia medioevale;AA.VV.;Scripta manent;Le pagine della memoria;;Biblioteca civica di Tortona;Tortona;2.001;145;;Miotti Fausto;;;;
765;02\06\025;;;Storia medioevale;AA.VV.;Le vie del Medioevo;Atti del convegno;;Regione Piemonte;Torino;1.998;286;;;;;;
766;02\06\026;;;Storia medioevale;Barbero Alessandro;Un'oligarchia urbana;Politica ed economia a Torino tra Tre e Quattrocento;;Viella;Roma;1.995;359;;;;;;
786;02\06\027;;;Storia medioevale;Jean Richard;La grande storia delle crociate;;;Il giornale;;1.999;408;;;volume primo;;;
788;02\06\028;;;Storia medioevale;Cherubini Giovanni;Pellegrini,pellegrinaggi,giubileo nel medioevo;;;Liguori;Napoli;2.005;137;;;collana nuovo medioevo 72;;;
790;02\06\029;;;Storia medioevale;Gramaglia Giuseppe;Borgo,ayrali,territorio proprietà, colture e istituzioni nella Collegno tardo-medioevale;;;;Collegno;;;;;;;;
791;02\06\030;;;Storia medioevale;Sergi Giuseppe;Potere e territorio lungo la strada di Francia;da chambery a Torino fra X e XIII secolo;;Liguori;Napoli;1.981;338;;;fotocopie;;;
792;02\06\031;;;Storia medioevale;Gramaglia Giuseppe;dalla villa al burgus contributo per una storia di Collegno dal 999 al 1280;;;;Collegno;;24;;;;;;
794;02\06\032;;;Storia medioevale;AA.VV.;La casa Provana;con particolare riguardo ai Provana di Collegno;;;Collegno;1.999;81;;;fotocopie;atti del convegno;;
819;02\06\033;;;Storia medioevale;Cherubini Giovanni;Il lavoro,la taverna,la strada;scorci di medioevo;;Liguori;Napoli;1.997;224;;;;;;
867;02\06\034;;;Storia medioevale;AA.VV.;Carlo Magno e le Alpi;Viaggio al centro del medioevo;;Skira;Milano;2.006;254;;;Catalogo mostra Susa 2006;;;
856;02\06\035;;;Storia medioevale;Favro M.- Turco F.;Certosini in Val di Susa:strutture conventuali ed economiche da Losa ad Avigliana,XII-XVII secolo.;Tesi di laurea Facoltà di Architettura A.A.1998-1999;;Morra;Condove (TO);2.000;93;;;;;;
870;02\06\036;;;Storia medioevale;AA.VV.;La basilica di San Giusto;La memoria millenaria della cattedrale segusina;;Centro Culturale Diocesano Susa;Susa;2.002;221;;;;;;
871;02\06\037;;;Storia medioevale;Debord A.;Aristocratie et pouvoir;Le role du chateau dans la France médiévale;;Picard;Mayenne;2.000;238;;;;;;
1.001;02\06\038;;;Storia medioevale;Filippo Rostan;Storia della contea di Ventimiglia;;;Istituto internazionale di studi liguri Museo Bicknell;Bordighera;1.971;190;;;;;;
1.002;02\06\039;;;Storia medioevale;Anselmo Claudio;Agguati e assedi;Il castello di Volpiano tra Piemonte ed Europa;;Blu;Torino;2.005;95;;;;;;
1.003;02\06\040;;;Storia medioevale;AA.VV.;Studi di storia medievale braidese;;;Amici del museo;Bra;1.976;187;;;;;;
1.004;02\06\041;;;Storia medioevale;Settia Aldo;Erme torri;Simboli di potere fra città e campagna;;Società studi storici, archeologici, artistici provincia di Cuneo;Cuneo;2.007;187;;;;;;
1.005;02\06\042;;;Storia medioevale;AA.VV.;I cristiani e il favoloso Egitto;Una relazione dall'Oriente e la storia di Damietta di Oliviero da Colonia;;Marietti;Genova;2.009;261;;;;;;
1.006;02\06\043;;;Storia medioevale;Settia Aldo;Tracce di medioevo;Toponomastica, archeologia e antichi insediamenti nell'Italia del Nord;;Gribaudo;Torino;1.996;248;;;;;;
1.007;02\06\044;;;Storia medioevale;Settia Aldo;Proteggere e dominare;Fortificazioni e popolamento nell'Italia medievale;;Viella;Roma;1.999;445;;;;;;
1.008;02\06\045;;;Storia medioevale;Settia Aldo;Rapine, assedi, battaglie;La guerra nel medioevo;;Laterza;Roma;2.002;358;;;;;;
1.009;02\06\046;;;Storia medioevale;Settia Aldo;Chiese, strade e fortezze nell'Italia medievale;;;Herder;Roma;1.991;427;;;;;;
1.012;02\06\047;;;Storia medioevale;Settia;best settia;;;;;;;;Settia;estratti;"1)	Un borgo nuovo tra Vercelli ed Ivrea  - 1270 :la fondazione di Borgo d’Ale in un territorio di confine
2)	Geografia di un potere in crisi : il marchesato di Monferrato nel 1224
3)	La città e il suo territorio – Estratto da « Guida di Torino «  Einaudi
4)	L’europeo aggressore :tecniche militari in occidente alla vigilia della prima crociata
5)	Pisa e le tecniche belliche mediterranee
6)	La storia medievale dal IV all’XI secolo  - estratto da «Bollettino della società pavese di storia patria »
7)	Giochi e giocattoli nel medioevo piemontese e ligure
8)	« Postquam ipse marchio levavit crucem ». Guglielmo V di Monferrato e il suo ritorno in Palestina
9)	Le famiglie viscontili di Monferrato – Tradizionalismo di titoli e rinnovamento di funzioni nell’organizzazione di un principato territoriale
10)	L’imperatore nella foresta. S.Guido ,gli Aleramici e Jacopo d’Acqui
11)	Cronotassi dei vescovi di Ivrea (sec. V- 1198)
12)	I castelli dell’Appennino nel Medioevo – Rocche,fortezze e castelli nelle aree montane dell’Italia centro-settentrionale :precisazioni storico-linguistiche
13)	Esperienza e dottrina nel mestiere delle armi
14)	Caseforti,torri e motte in Piemonte  (sec.XII-XVI)
15)	Riflessi carolingi in Valle Staffora : San Ponzo e Cecima 
16)	L’incastellamento nel regno italico  (sec. X-XI )
17)	« Donjon » e « metre tour » : un episodio della Prise de Pampelune e la morfologia del castello alto italiano in età comunale
18)	Fisionomia urbanistica e inserimento nel territorio ( sec. XI-XIII )
19)	Gli Angiò nell’Italia nord-occidentale (1259- 1382)
20)	Una « fara » in Collegno
21)	I mezzi della guerra.Balestre, pavesi e lance lunghe : la specializzazione delle fanterie comunali nel sec.XIII
22)	Monasteri subalpini e presenza saracena : una storia da riscrivere
23)	Nelle foreste del Re: le corti « Auriola », »Gardina » e « Sulcia » dal IX al XII secolo
24)	I monasteri italiani e le incursioni saracene e ungare
25)	Liutprando,l’avvocato Decanis e i Saraceni di Malamorte
26)	Le pedine e la scacchiera : iniziative di popolamento nel secolo XII
27)	Le frontiere del regno italico nei secoli VI-XI : l’organizzazione della difesa
28)	Aureliano imperatore e il cavallo di re Alboino. Tradizione ed elaborazione nelle fonti pavesi di Paolo Diacono
29)	 Giacinto Romano, « uomo di studio e di battaglia »
30)	Potere e sicurezza nella bergamasca del secolo X
31)	Tempi di guerra
32)	L’incastellamento in Romagna-Montefeltro e le concordanze « padane »
33)	« Come si usa in Monferrato » : l’organizzazione militare in età aleramica
34)	Il Marchese carbonaio. La leggenda aleramica nella redazione di Jacopo d’Acqui
35)	Gli «  insegnamenti » di Teodoro I Paleologo e il re di Francia
36)	« Castrum Turris », il colle di S.Lorenzo e i Longobardi in Monferrato
37)	Pavia nell’età precomunale
38)	Monselice nell’alto medioevo
39)	Pavia carolingia e postcarolingia
40)	Il distretto pavese nell’età comunale : la creazione di un territorio
41)	Longobardi in Italia : necropoli altomedievali e ricerca storica
42)	Santa Maria di Lucedio e l’identità dinastica dei marchesi di Monferrato
43)	La « battaglia » : un gioco violento fra permissività e interdizione
44)	Il sogno regio dei Visconti,Pavia e la Certosa
45)	Pavia nel secolo X e la presenza di Maiolo
46)	Strutture materiali e affermazione politica nel regno italico : i castelli marchionali e comitali dei sec.X-XI
47)	Le campagne pavesi nell’età di Federico Barbarossa – in margine alle carte di S.Pietro in Ciel d’Oro
48)	L’ostacolo valicabile. Pace e guerra sul Po medievale
49)	L’alto medioevo – storia della Chiesa di Ivrea 
50)	L’epigrafe romana di « Tertius Bresius »
51)	« Nuove Marche » nell’Italia occidentale – Necessità difensive e distrettuazione pubblica fra IX e X sec. : una rilettura
52)	Pavia e l’infiltrazione dei Capitanei milanesi
53)	Monasteri subalpini e presenza saracena : una storia da riscrivere
54)	L’alto Medioevo ad Alba : problemi ed ipotesi
55)	Bi";;
1.054;02\06\048;;;Storia medioevale;Gramaglia Giuseppe;Frammenti di storia di Collegno;Opera postuma di G.Gramaglia;;Ediz. Del Graffio;Borgone di Susa;2.006;295;;;;;;
